Timestamp, ID, Name, Type, IP, Address, Load(%), Status
[22:54:30] 001, asdasd, Database, 123, 123, 81%, warning
[22:54:35] 001, asdasd, Database, 123, 123, 46%, online
[22:54:38] 001, asdasd, Database, 123, 123, 78%, warning
[22:54:44] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 34%, warning
[22:54:47] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 96%, warning
[22:54:52] 002, aaaa, Web, 4444, 4444, 92%, warning
[22:54:58] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 40%, warning
[22:55:02] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 13%, warning
[22:55:06] 001, asdasd, Database, 123, 123, 66%, online
[22:55:10] 002, aaaa, Web, 4444, 4444, 96%, warning
[22:55:17] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 60%, online
[22:55:23] 001, asdasd, Database, 123, 123, 23%, warning
[22:55:29] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 57%, online
[22:55:35] 001, asdasd, Database, 123, 123, 28%, warning
[22:55:39] 002, aaaa, Web, 4444, 4444, 10%, warning
[22:55:42] 001, asdasd, Database, 123, 123, 21%, warning
[22:55:47] 002, aaaa, Web, 4444, 4444, 78%, warning
[22:55:51] 001, asdasd, Database, 123, 123, 69%, online
[22:55:56] 001, asdasd, Database, 123, 123, 21%, warning
[22:56:02] 001, asdasd, Database, 123, 123, 4%, warning
[22:56:08] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 53%, online
[22:56:15] 002, aaaa, Web, 4444, 4444, 83%, warning
[22:56:21] 002, aaaa, Web, 4444, 4444, 66%, online
[22:56:27] 002, aaaa, Web, 4444, 4444, 79%, warning
[22:56:31] 001, asdasd, Database, 123, 123, 83%, warning
[22:56:35] 001, asdasd, Database, 123, 123, 25%, warning
[22:56:38] 001, asdasd, Database, 123, 123, 97%, warning
[22:56:43] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 16%, warning
[22:56:47] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 54%, online
[22:56:53] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 6%, warning
[22:56:56] 001, asdasd, Database, 123, 123, 54%, online
[22:57:02] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 23%, warning
[22:57:08] 002, aaaa, Web, 4444, 4444, 95%, warning
[22:57:12] 001, asdasd, Database, 123, 123, 85%, warning
[22:57:17] 003, Server 003, File, 192.168.1.13, 192.168.1.13, 73%, online
